Age_gyr UV_constant VJ_constant UV_declining VJ_declining
0.101518 0.0242048043147 0.0703888690356 0.106995885211 0.0931428012787
0.113906 0.0423682182909 0.0679555925999 0.138608160733 0.0863918443555
0.143399008 0.0810470471587 0.0710767212025 0.213014861012 0.0902216803653
0.160896 0.102011334281 0.073702743377 0.25788638682 0.0946207063231
0.180528992 0.123175019201 0.0749063426231 0.306296718609 0.0953027892428
0.227272 0.166738306388 0.0759379127498 0.417934102758 0.0934683818564
0.255004 0.190773075195 0.0788249788159 0.488484732291 0.101831354324
0.321031008 0.242691979903 0.0903140546134 0.661419231344 0.142527609706
0.360203008 0.269133940659 0.0968487325586 0.757153403649 0.165327078536
0.404153984 0.295120636564 0.103013365718 0.852773289643 0.184536495387
0.508800992 0.347304322367 0.118067178875 1.04982007388 0.24064234647
0.570883968 0.374083017601 0.129110235461 1.1525663416 0.290694441279
0.640542976 0.400847049121 0.141870142797 1.24829208251 0.345371316029
0.806396032 0.453543367077 0.170344220523 1.40548382686 0.445991535249
0.904792 0.479458212237 0.186113124196 1.46817863936 0.494786798158
1.139069952 0.53398991848 0.22822384659 1.6287094714 0.674579923567
1.278050048 0.561458240191 0.258425149927 1.67848709049 0.796222087042
1.434 0.585303316965 0.283312999469 1.68104429629 0.810439292982
1.7 0.618773111913 0.315703010471 1.7216883386 0.839554651514
2.0 0.649849371693 0.349398735477 1.78220370713 0.927568917123
2.4 0.683503150362 0.389938282863 1.83872911305 1.0206574958
2.750000128 0.707505945296 0.419696508596 1.87417067227 1.06128298065
3.249999872 0.737563895506 0.458732933272 1.98316345206 1.14655961086
3.750000128 0.763025609992 0.491528494839 2.00087370342 1.15789269755
4.499999744 0.794150228467 0.529471596614 2.03041722919 1.17613504236
5.249999872 0.81977754585 0.559521657413 2.06049984944 1.19208058693
6.249999872 0.84896255626 0.593348751406 2.10383394739 1.21911277608
7.249999872 0.873761416936 0.621670666765 2.14441101013 1.25410649051
8.499999744 0.900577115951 0.652963514766 2.20238538266 1.30258952417
10.0 0.927960251451 0.685456966471 2.26153040555 1.34701216015
