wavelength continuum H1_lines metal_lines_Z1 metal_lines_Z2 metal_lines_Z3
815.0 8.10811e-38 0.0 0.0 0.0 0.0
825.0 8.10811e-38 0.0 0.0 0.0 0.0
835.0 8.10811e-38 0.0 0.0 0.0 0.0
845.0 8.10811e-38 0.0 0.0 0.0 0.0
855.0 8.10811e-38 0.0 0.0 0.0 0.0
865.0 8.10811e-38 0.0 0.0 0.0 0.0
875.0 8.10811e-38 0.0 0.0 0.0 0.0
885.0 8.10811e-38 0.0 0.0 0.0 0.0
895.0 8.10811e-38 0.0 0.0 0.0 0.0
905.0 8.10811e-38 0.0 0.0 0.0 0.0
915.0 8.10811e-38 0.0 0.0 0.0 0.0
925.0 8.10811e-38 0.0 0.0 0.0 0.0
935.0 8.10811e-38 0.0 0.0 0.0 0.0
945.0 8.10811e-38 0.0 0.0 0.0 0.0
955.0 8.10811e-38 0.0 0.0 0.0 0.0
965.0 8.10811e-38 0.0 0.0 0.0 0.0
975.0 8.10811e-38 0.0 0.0 0.0 0.0
985.0 8.10811e-38 0.0 0.0 0.0 0.0
995.0 8.10811e-38 0.0 0.0 0.0 0.0
1005.0 1.02617e-30 0.0 0.0 0.0 0.0
1015.0 1.1682e-30 0.0 0.0 0.0 0.0
1025.0 1.32663e-30 0.0 0.0 0.0 0.0
1035.0 1.50294e-30 0.0 0.0 0.0 0.0
1045.0 1.69874e-30 0.0 0.0 0.0 0.0
1055.0 1.91571e-30 0.0 0.0 0.0 0.0
1065.0 2.15565e-30 0.0 0.0 0.0 0.0
1075.0 2.42046e-30 0.0 0.0 0.0 0.0
1085.0 2.71217e-30 0.0 0.0 0.0 0.0
1095.0 3.03288e-30 0.0 0.0 0.0 0.0
1105.0 3.38485e-30 0.0 0.0 0.0 0.0
1115.0 3.77042e-30 0.0 0.0 0.0 0.0
1125.0 4.19208e-30 0.0 0.0 0.0 0.0
1135.0 4.65241e-30 0.0 0.0 0.0 0.0
1145.0 5.15414e-30 0.0 0.0 0.0 0.0
1155.0 5.70012e-30 0.0 0.0 0.0 0.0
1165.0 6.29332e-30 0.0 0.0 0.0 0.0
1175.0 6.93685e-30 0.0 0.0 0.0 0.0
1185.0 7.63394e-30 0.0 0.0 0.0 0.0
1195.0 8.38796e-30 0.0 0.0 0.0 0.0
1205.0 9.20241e-30 0.0 0.0 0.0 0.0
1215.0 1.00809e-29 0.0 0.0 0.0 0.0
1225.0 1.62649e-29 0.0 0.0 0.0 0.0
1235.0 1.90856e-29 0.0 0.0 0.0 0.0
1245.0 2.24752e-29 0.0 0.0 0.0 0.0
1255.0 2.65349e-29 0.0 0.0 0.0 0.0
1265.0 3.13761e-29 0.0 0.0 0.0 0.0
1275.0 3.71192e-29 0.0 0.0 0.0 0.0
1285.0 4.38931e-29 0.0 0.0 0.0 0.0
1295.0 5.18331e-29 0.0 0.0 0.0 0.0
1305.0 6.10797e-29 0.0 0.0 0.0 0.0
1315.0 7.17766e-29 0.0 0.0 0.0 0.0
1325.0 8.40684e-29 0.0 0.0 0.0 0.0
1335.0 9.80982e-29 0.0 0.0 0.0 3.12365e-27
1345.0 1.14005e-28 0.0 0.0 0.0 0.0
1355.0 1.31924e-28 0.0 0.0 0.0 0.0
1365.0 1.51978e-28 0.0 0.0 0.0 0.0
